premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,salary_from,salary_to,salary_currency,salary_gross,id
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2021-10-06T13:40:19+0300,2021-10-06T13:40:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48276964,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48276964,[],"{'id': '1809605', 'name': 'Страховая компания «Сбербанк страхование»', 'url': 'https://api.hh.ru/employers/1809605', 'alternate_url': 'https://hh.ru/employer/1809605', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3551148.jpeg', '90': 'https://hhcdn.ru/employer-logo/3551147.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/777564.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1809605', 'trusted': True}","{'requirement': 'Опыт использования ML библиотек на Python и понимание математики. Обладание навыками SQL и обработки данных в pandas. Опыт построения нейронных...', 'responsibility': 'Разработка и улучшение ML моделей. Оценка качества внешних источников данных. Реализация фичей для клиентского профиля. Продумывать методику пилотирования моделей.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,,,,,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 180000, 'to': 400000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-07T17:52:46+0300,2021-10-07T17:52:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48501407,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48501407,[],"{'id': '5445348', 'name': 'Институт Искусственного Интеллекта', 'url': 'https://api.hh.ru/employers/5445348', 'alternate_url': 'https://hh.ru/employer/5445348', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5445348', 'trusted': True}","{'requirement': 'Знание и опыт в области Data Science (от 3 лет). Хорошее знание Python (в том числе опыт работы с Python...', 'responsibility': 'Проведение прикладных исследований в направлении ESG (Environmental, Social and Corporate Governance) с применением статистических методов, методов машинного обучения. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,180000.0,400000.0,RUR,True,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Новодмитровская улица', 'building': '2к1', 'description': None, 'lat': 55.804936, 'lng': 37.589922, 'raw': 'Москва, Новодмитровская улица, 2к1', 'metro': {'station_name': 'Дмитровская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.35', 'line_id': '9', 'lat': 55.808056, 'lng': 37.581734}, 'metro_stations': [{'station_name': 'Дмитровская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.35', 'line_id': '9', 'lat': 55.808056, 'lng': 37.581734}], 'id': '960881'}",,,2021-10-07T10:51:26+0300,2021-10-07T10:51:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48599604,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48599604,[],"{'id': '229037', 'name': 'CARDIF, Страховая компания', 'url': 'https://api.hh.ru/employers/229037', 'alternate_url': 'https://hh.ru/employer/229037', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/1987699.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/386360.jpg', '90': 'https://hhcdn.ru/employer-logo/1987698.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=229037', 'trusted': True}","{'requirement': 'Высшее техническое образование. 1-2 лет года опыта работы в области аналитики данных, data mining, машинного обучения. Понимание основных этапов...', 'responsibility': 'Участие во всем цикле работ по построению, оценке и внедрению аналитическихx инструментов для решения бизнес задач. Построение моделей и применение...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,,,,,1
False,Москва,,False,True,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Большая Грузинская улица', 'building': '12с2', 'description': None, 'lat': 55.763807, 'lng': 37.579771, 'raw': 'Москва, Большая Грузинская улица, 12с2', 'metro': None, 'metro_stations': [], 'id': '4133927'}",,,2021-10-08T16:36:40+0300,2021-10-08T16:36:40+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48219194,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48219194,[],"{'id': '4683890', 'name': 'Доценко Дарья', 'url': 'https://api.hh.ru/employers/4683890', 'alternate_url': 'https://hh.ru/employer/4683890', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4683890', 'trusted': False}","{'requirement': 'Законченное высшее образование или последний курс университета (МФТИ, МГУ, ВШЭ и т.д.). Успешный опыт применения методов машинного обучения. ', 'responsibility': 'Компания быстро растет, есть много финансовых данных, инфраструктура, результаты и профессиональный коллектив. Основные задачи будут связаны с анализом больших датасетов...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,,,,,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Дербеневская набережная', 'building': '7с22', 'description': None, 'lat': 55.722157, 'lng': 37.651556, 'raw': 'Москва, Дербеневская набережная, 7с22', 'metro': {'station_name': 'Крестьянская застава', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.63', 'line_id': '10', 'lat': 55.732278, 'lng': 37.665325}, 'metro_stations': [{'station_name': 'Крестьянская застава', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.63', 'line_id': '10', 'lat': 55.732278, 'lng': 37.665325}, {'station_name': 'Павелецкая', 'line_name': 'Замоскворецкая', 'station_id': '2.101', 'line_id': '2', 'lat': 55.729741, 'lng': 37.638693}, {'station_name': 'Павелецкая', 'line_name': 'Кольцевая', 'station_id': '5.102', 'line_id': '5', 'lat': 55.731414, 'lng': 37.636294}, {'station_name': 'Пролетарская', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.62', 'line_id': '7', 'lat': 55.731546, 'lng': 37.666917}], 'id': '1196940'}",,,2021-10-06T14:07:47+0300,2021-10-06T14:07:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48572360,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48572360,[],"{'id': '490', 'name': 'Ренессанс cтрахование, Группа', 'url': 'https://api.hh.ru/employers/490', 'alternate_url': 'https://hh.ru/employer/490', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2895501.png', '90': 'https://hhcdn.ru/employer-logo/2895500.png', 'original': 'https://hhcdn.ru/employer-logo-original/613587.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=490', 'trusted': True}","{'requirement': 'Навыки построения моделей машинного обучения. Владение математической статистикой, линейно алгеброй. Знание языка программирования python (pandas, sklearn, numpy, matplotlib). Владение SQL.', 'responsibility': 'Построение моделей машинного обучения. Подготовка витрин данных под свои задачи. Внедрение моделей.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,,,,,1
False,Москва,"{'id': '84585-84585-dev', 'name': 'Авито: разработка '}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Лесная улица', 'building': '7', 'description': None, 'lat': 55.778669, 'lng': 37.587964, 'raw': 'Москва, Лесная улица, 7', 'metro': {'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}, 'metro_stations': [{'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}], 'id': '366206'}",,,2021-10-08T09:55:10+0300,2021-10-08T09:55:10+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48635498,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48635498,[],"{'id': '84585', 'name': 'Авито', 'url': 'https://api.hh.ru/employers/84585', 'alternate_url': 'https://hh.ru/employer/84585', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/236454.png', '90': 'https://hhcdn.ru/employer-logo/1388493.png', '240': 'https://hhcdn.ru/employer-logo/1388494.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=84585', 'trusted': True}","{'requirement': 'Получили высшее образование в области вычислительной математики, статистики, анализа данных и т.п.. Обладаете глубоким пониманием ключевых методов, применяемых при...', 'responsibility': 'Улучшать алгоритмы поиска фрода в сервисе, который обрабатывает тысячи объявлений в минуту. Экспериментировать со state-of-the-art методами машинного...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,,,,,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2021-10-07T18:15:10+0300,2021-10-07T18:15:10+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48502304,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48502304,[],"{'id': '760', 'name': 'САТЕЛ, Группа компаний', 'url': 'https://api.hh.ru/employers/760', 'alternate_url': 'https://hh.ru/employer/760', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/381388.png', '90': 'https://hhcdn.ru/employer-logo/308531.png', 'original': 'https://hhcdn.ru/employer-logo-original/233358.gif'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=760', 'trusted': True}","{'requirement': 'Отличное знание Python. Отличное знание библиотек numpy и pandas. Опыт работы с OpenCV. Знание одной из библиотек машинного обучения: pytorch...', 'responsibility': 'Построение архитектуры нейронных сетей. Улучшение качества существующих моделей. Создании инструкций для разметчиков фото и видео датасетов. Создание моделей нейронных сетей...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,,,,,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Нижняя Красносельская улица', 'building': '35с9', 'description': None, 'lat': 55.776137, 'lng': 37.673987, 'raw': 'Москва, Нижняя Красносельская улица, 35с9', 'metro': {'station_name': 'Бауманская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.17', 'line_id': '3', 'lat': 55.772405, 'lng': 37.67904}, 'metro_stations': [{'station_name': 'Бауманская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.17', 'line_id': '3', 'lat': 55.772405, 'lng': 37.67904}], 'id': '743543'}",,,2021-10-09T10:14:33+0300,2021-10-09T10:14:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48276976,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48276976,[],"{'id': '2652595', 'name': 'Bip.ru', 'url': 'https://api.hh.ru/employers/2652595', 'alternate_url': 'https://hh.ru/employer/2652595', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3882519.png', '240': 'https://hhcdn.ru/employer-logo/3882520.png', 'original': 'https://hhcdn.ru/employer-logo-original/860411.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2652595', 'trusted': True}","{'requirement': 'Опыт работы аналитиком/продуктовым аналитиком от двух лет. ● Технический вуз, сильную математическую базу. ● Отличное знание SQL. ● Опыт программирования на Python...', 'responsibility': 'Построение моделей прогнозирования поведения пользователей и LTV. ● Регулярное проведение А/В экспериментов и создание dashboard для анализа их результатов. ● '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,200000.0,,RUR,False,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 180000, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-09T11:21:14+0300,2021-10-09T11:21:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=47622649,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/47622649,[],"{'id': '723714', 'name': 'ZennoLab', 'url': 'https://api.hh.ru/employers/723714', 'alternate_url': 'https://hh.ru/employer/723714', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2750763.png', '240': 'https://hhcdn.ru/employer-logo/2750764.png', 'original': 'https://hhcdn.ru/employer-logo-original/577373.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=723714', 'trusted': True}","{'requirement': 'Опыт работы с нейронными сетями от трех лет. Хорошее знание Python. Опыт работы с TensorFlow / PyTorch. Мы используем TensorFlow. ', 'responsibility': 'Исследование нейросетей по компьютерному зрению. Создание новых архитектур нейросетей. Дообучение / улучшение существующих нейросетей, используемых в production. Анализ современных моделей на...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,180000.0,250000.0,RUR,False,1
False,Москва,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 150000, 'to': 300000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-10-08T14:54:25+0300,2021-10-08T14:54:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=48651351,,https://api.hh.ru/areas/1,https://hh.ru/vacancy/48651351,[],"{'id': '2223982', 'name': 'РАБЛЗ', 'url': 'https://api.hh.ru/employers/2223982', 'alternate_url': 'https://hh.ru/employer/2223982', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/886758.png', '240': 'https://hhcdn.ru/employer-logo/3987732.png', '90': 'https://hhcdn.ru/employer-logo/3987731.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2223982', 'trusted': True}","{'requirement': 'Опыт работы с классическими ML алгоритмами (Бустинг, логрег, леса. Знаете границы применимости, умеете генерировать подходящие под задачу фичи, а потом...', 'responsibility': 'Поддержание полного цикла по разработке моделей (собрать и подготовить данные, обучить, провалидировать, донести до прода, оценить эффективность). Генерация бизнес-гипотез...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,150000.0,300000.0,RUR,True,1
